Room Number,Category,Family,Type,Quantity,Commissioning planned date,Type of room,Area,מסמכים סופקו
L3104,Lighting Fixtures,EXIT Base_Ceiling_Wall_R18,Exit,1,06-May-25,corridor,22.23,כן
L3104,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),3,06-May-25,corridor,22.23,כן
L3105,Lighting Fixtures,EXIT Base_Ceiling_Wall_R18,Exit,1,06-May-25,corridor,19.1,לא
L3105,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),2,06-May-25,corridor,19.1,לא
L3106,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),1,06-May-25,corridor,12.96,כן
L3107,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),1,06-May-25,corridor,12.9,לא
L3108,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),2,06-May-25,corridor,19.91,לא
L3109,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),3,06-May-25,corridor,25.45,כן
L4002,Electrical Fixtures,Frame_Socket,1 AC,3,06-May-25,shelter,51.88,כן
L4002,Electrical Fixtures,Frame_Socket,Type 2,5,06-May-25,shelter,51.88,כן
L4002,Lighting Fixtures,EXIT Base_Ceiling_Wall_R18,Exit,1,06-May-25,shelter,51.88,כן
L4002,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),3,06-May-25,shelter,51.88,כן
L4002,Mechanical Equipment,AWSQ 1200(right),AWSQ 1200,1,06-May-25,shelter,51.88,כן
L4002,Mechanical Equipment,AWSQ 700(right),AWSQ 700,1,06-May-25,shelter,51.88,כן
L4003,Electrical Fixtures,Frame_Socket,Normal x1 WP,1,06-May-25,men w.c,13.49,לא
L4003,Electrical Fixtures,Frame_Socket,Type 2,3,06-May-25,men w.c,13.49,לא
L4003,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),2,06-May-25,men w.c,13.49,לא
L4004,Electrical Fixtures,Frame_Socket,Normal x2,1,06-May-25,plumbing shaft,8.19,לא
L4004,Lighting Fixtures,M_Recessed Direct-Indirect Light - Asymmetrical,Topaz 1200mm,2,06-May-25,plumbing shaft,8.19,לא
L4006,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),2,06-May-25,elevators Lobby,34.09,לא
L4006,Mechanical Equipment,AW 800(right),AW 800,1,06-May-25,elevators Lobby,34.09,לא
