Room Number,Category,Family,Type,Quantity,Commissioning planned date,Type of room,Area,מסמכים סופקו
L5040,Electrical Equipment,Yani_Circuit breaker_SwitchBoard,60x240x210,1,18-May-25,electricity shaft,5.13,כן
L5040,Electrical Fixtures,SOCKETS1,x×©×§×¢ ×ª×§×©×•×¨×ª 2,1,18-May-25,electricity shaft,5.13,כן
L5046,Electrical Fixtures,Frame_Socket,FOR LSS UPS,1,18-May-25,LSS shaft,0.9,לא
L5052,Electrical Fixtures,Frame_Socket,FOR LSS UPS,1,18-May-25,HSSD,1,כן
L5059,Mechanical Equipment,AWSQ 2000,AWSQ 2000,1,18-May-25,shelter,64.66,לא
L5064,Electrical Equipment,M_Circuit Breaker Switchboard,100mmx46mm,1,18-May-25,it /security room,32.85,כן
L5064,Electrical Equipment,M_Transformer Switchboard,400mmx250mmx600h,2,18-May-25,it /security room,32.85,כן
L5064,Electrical Fixtures,SOCKETS1,x×©×§×¢ ×ª×§×©×•×¨×ª 2,2,18-May-25,it /security room,32.85,כן
L5070,Electrical Fixtures,Frame_Socket,Normal x1 WP,1,18-May-25,women w.c,19.84,לא
L5070,Electrical Fixtures,Frame_Socket,Type 2,5,18-May-25,women w.c,19.84,לא
L5071,Electrical Fixtures,Frame_Socket,Normal x1 WP,1,18-May-25,men w.c,20.89,לא
L5071,Electrical Fixtures,Frame_Socket,Type 2,4,18-May-25,men w.c,20.89,לא
L5076,Electrical Equipment,Yani_Circuit breaker_SwitchBoard,60x160x210 UPS,1,18-May-25,electricity cabinet,2.56,לא
L5076,Electrical Fixtures,SOCKETS1,x×©×§×¢ ×ª×§×©×•×¨×ª 2,1,18-May-25,electricity cabinet,2.56,לא
L5077,Electrical Equipment,Yani_Circuit breaker_SwitchBoard,60x240x210,1,18-May-25,electricity cabinet,7.6,לא
